Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
"ncsoft
3.1","san mateo, ca",data analyst,Data Analyst,1.0,1.0,0.0,0.0,1.0,192400.0
"productive edge
4.3","chicago, il",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,161200.0
rhf,"long beach, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,100000.0
rhf,"long beach, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,100000.0
robert half,"atlanta, ga",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"sauce labs
4.2","san francisco, ca",data analyst,Data Analyst,1.0,0.0,0.0,1.0,1.0,183040.0
"success academy charter schools
3.1","new york, ny",data analyst,Data Analyst,1.0,0.0,0.0,0.0,1.0,123760.0
"synagro
2.3","baltimore, md",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,128960.0
synergisticit,"bakersfield, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
synergisticit,"bakersfield, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
synergisticit,"mountain brook, al",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
the escape game,"brentwood, tn",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"trueaccord
3.4","san francisco, ca",data analyst,Data Analyst,1.0,0.0,0.0,0.0,1.0,143520.0
united states army,"alpine, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
united states army,"alpine, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
wellvana,"nashville, tn",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
wff facility services,"knoxville, tennessee",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,70000.0
wipro limited,"georgiana, al",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"yesler
4.1","seattle, wa",data analyst,Data Analyst,1.0,0.0,1.0,1.0,1.0,136240.0
zest ai,"burbank, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
zest ai,"burbank, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
emory,"north decatur, ga","data analyst (ets) | full time, temporary | the carter center",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
splitwise,"los angeles, ca","data analyst (growth)
                    providence / new york / los angeles / remote • mid-level and above",Data Analyst,0.0,0.0,0.0,0.0,1.0,144250.0
kinetic personnel group,"orange, ca","data analyst (health plan, provider)",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
kinetic personnel group,"orange, ca","data analyst (health plan, provider)",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
cargill,"atlanta, ga","data analyst (hybrid- midtown- atlanta, georgia)",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
transglobal,"diamond bar, ca",data analyst (mandarin speaking required),Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
transglobal,"diamond bar, ca",data analyst (mandarin speaking required),Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
nexthreat,"huntsville, al",data analyst (mid),Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
over j consulting,"east los angeles, ca",data analyst (ms power platform),Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
over j consulting,"east los angeles, ca",data analyst (ms power platform),Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
university physicians' association,"knoxville, tn","data analyst (remote opportunity in knoxville, tn)",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
