Job Title,Company Name,Location,avg_salary,python_yn,R_yn,spark,aws,excel,job_category
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence","Takeda Pharmaceuticals
3.7","Cambridge, MA",154.5,0,0,1,1,1,Data Engineer
Senior Data Scientist,"Maven Wave Partners
4.4","Chicago, IL",128.5,1,0,0,1,1,Data Scientist
Sr. Data Engineer - Contract-to-Hire (Java),"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN",98.0,1,0,0,0,0,Data Engineer
Data Scientist - Algorithms & Inference,"Nuna
4.2","San Francisco, CA",142.5,0,0,0,0,0,Data Scientist
Senior Data Scientist - R&D Oncology,"AstraZeneca
3.9","New York, NY",137.0,1,0,0,0,0,Data Scientist
Data Engineer,"Pinnacol Assurance
4.0","Denver, CO",99.0,1,0,0,1,0,Data Engineer
Senior Data Scientist,"MathWorks
4.4","Natick, MA",139.5,1,0,0,0,0,Data Scientist
Data Engineer,"MetroStar Systems
3.4","Rockville, MD",109.0,0,0,0,1,0,Data Engineer
Associate Data Analyst- Graduate Development Program,"National Interstate
3.3","Richfield, OH",45.5,0,0,0,0,0,Data Analyst
Sr. Data Engineer,"Moser Consulting
4.5","Indianapolis, IN",122.5,1,0,1,1,0,Data Engineer
Senior Insurance Data Scientist,"TransUnion
3.9","Chicago, IL",140.0,1,0,0,0,1,Data Scientist
IT - Data Engineer II,"Arbella Insurance
3.4","Quincy, MA",90.0,0,0,1,0,1,Data Engineer
Data Scientist,"Zimmerman Advertising
3.8","Fort Lauderdale, FL",91.0,1,0,0,0,1,Data Scientist
Data Scientist,"BPA Services
5.0","Washington, DC",155.0,0,0,0,1,1,Data Scientist
"Senior Manager, Epidemiologic Data Scientist","Pfizer
4.0","New York, NY",167.5,0,0,0,1,1,Data Scientist
Corporate Risk Data Analyst (SQL Based) - Milwaukee or,"Associated Banc-Corp
3.8","Green Bay, WI",60.0,0,0,0,1,1,Data Analyst
Lead Data Scientist,"Zest AI
3.9","Burbank, CA",180.0,1,0,0,0,1,Data Scientist
"Marketing Data Analyst, May 2020 Undergrad","Fareportal
3.8","New York, NY",65.0,0,0,0,0,1,Data Analyst
Senior Data Engineer,"Genesys
4.3","Durham, NC",112.5,1,0,1,1,0,Data Engineer
Senior Data Analyst,"Moda Operandi
1.9","New York, NY",87.5,1,0,0,0,1,Data Analyst
Sr Data Engineer (Sr BI Developer),"Tivity Health
3.4","Chandler, AZ",100.0,0,0,0,0,0,Data Engineer
Data Engineer,"BRMi
4.4","Chantilly, VA",85.0,1,0,1,1,0,Data Engineer
Senior LiDAR Data Scientist,"Luminar Technologies
3.9","Orlando, FL",122.0,1,0,0,1,0,Data Scientist
Senior Data Engineer,"Praetorian
4.7","Austin, TX",138.5,1,0,1,0,0,Data Engineer
Managing Data Scientist/ML Engineer,"PA Consulting
3.4","Boston, MA",107.5,0,0,1,0,1,Data Scientist
Sr. Data Engineer,"Echo Global Logistics
3.4","Chicago, IL",107.5,0,0,0,0,0,Data Engineer
Lead Big Data Engineer,"Glassdoor
4.0","San Francisco, CA",162.0,1,0,1,1,1,Data Engineer
Sr Software Engineer (Data Scientist),"Assurant
3.4","Westlake, OH",110.5,0,0,0,0,1,Data Scientist
College Hire - Data Scientist - Open to December 2019 Graduates,"Caterpillar
3.7","Peoria, IL",81.0,0,0,0,0,0,Data Scientist
Senior Data Scientist,"Equity Residential
4.3","Chicago, IL",130.0,1,0,1,0,1,Data Scientist
Sr. Data Engineer (ETL Developer),"F&G
3.7","Des Moines, IA",115.5,1,0,0,0,1,Data Engineer
Senior Data Scientist Artificial Intelligence,"PNNL
3.8","Richland, WA",80.5,0,0,0,0,0,Data Scientist
Analytics - Business Assurance Data Analyst,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA",43.0,0,0,0,0,1,Data Analyst
Data Analyst Senior,"AmeriHealth Caritas
3.0","Philadelphia, PA",66.5,0,0,0,0,1,Data Analyst
Lead Data Engineer (Python),"Strategic Employment Partners
4.7","San Francisco, CA",94.5,1,0,0,1,0,Data Engineer
