Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
"zimmerman advertising
3.8","fort lauderdale, fl",data scientist,Data Scientist,1,0,0,0,1,189280
"zimmerman advertising
3.8","fort lauderdale, fl",data scientist,Data Scientist,1,0,0,0,1,189280
"legal & general america
3.8","frederick, md","data scientist (actuary, fsa or asa)",Data Scientist,1,0,0,0,1,222560
"legal & general america
3.8","frederick, md","data scientist (actuary, fsa or asa)",Data Scientist,1,0,0,0,1,222560
"softbank robotics
3.8","san francisco, ca",data scientist (warehouse automation),Data Scientist,1,0,0,1,0,214240
"nuna
4.2","san francisco, ca",data scientist - algorithms & inference,Data Scientist,0,0,0,0,0,296400
"nuna
4.2","san francisco, ca",data scientist - algorithms & inference,Data Scientist,0,0,0,0,0,296400
"two sigma
4.4","new york, ny",data scientist - alpha insights,Data Scientist,0,0,0,0,0,357760
"pnnl
3.8","richland, wa",data scientist - bioinformatics,Data Scientist,1,0,0,0,0,139360
"nuna
4.2","san francisco, ca",data scientist - health data analytics,Data Scientist,0,0,0,0,0,296400
"nuna
4.2","san francisco, ca",data scientist - health data analytics,Data Scientist,0,0,0,0,0,296400
"truckstop.com
3.8","chicago, il",data scientist - quantitative,Data Scientist,1,0,0,1,1,234000
"truckstop.com
3.8","chicago, il",data scientist - quantitative,Data Scientist,1,0,0,1,1,234000
"c space
3.1","boston, ma",data scientist - research,Data Scientist,1,0,0,0,0,117520
"confluent
4.7","mountain view, ca",data scientist - sales,Data Scientist,1,0,0,0,1,349440
"mitre
3.2","bedford, ma",data scientist - systems engineering,Data Scientist,1,0,0,0,1,144560
"mitre
3.2","bedford, ma",data scientist - systems engineering,Data Scientist,1,0,0,0,1,144560
"novartis
3.8","cambridge, ma",data scientist / machine learning expert,Data Scientist,1,0,0,0,0,238160
"novartis
3.8","cambridge, ma",data scientist / machine learning expert,Data Scientist,1,0,0,0,0,238160
"l.a. care health plan
3.0","los angeles, ca",data scientist ii,Data Scientist,1,0,1,0,0,248560
"pacific northwest national laboratory
3.8","richland, wa",data scientist in artificial intelligence early career,Data Scientist,0,0,0,0,0,139360
"pacific northwest national laboratory
3.8","richland, wa",data scientist in artificial intelligence early career,Data Scientist,0,0,0,0,0,139360
"novartis
3.8","cambridge, ma",data scientist in translational medicine,Data Scientist,0,0,0,0,0,238160
"capgemini
3.8","new york, ny",data scientist manager,Data Scientist,1,0,1,0,1,305760
"the buffalo group
3.9","charlottesville, va",data scientist sr,Data Scientist,1,0,1,0,0,232960
"the buffalo group
3.9","charlottesville, va",data scientist sr,Data Scientist,1,0,1,0,0,232960
"liberty mutual insurance
3.3","boston, ma","data scientist, office of data science",Data Scientist,1,0,0,0,0,238160
"liberty mutual insurance
3.3","boston, ma","data scientist, office of data science",Data Scientist,1,0,0,0,0,238160
"trilogy ed
4.3","houston, tx","data scientist, rice university",Data Scientist,1,0,0,0,0,182000
"novetta
4.0","fort belvoir, va","data scientist, senior",Data Scientist,1,0,0,1,0,295360
"pa consulting
3.4","new york, ny",data scientist/ml engineer,Data Scientist,1,0,1,0,1,201760
gray media,georgia,data solutions analyst (remote/usa) - gdm (gray media group),Data Scientist,,,,,,
sunshine enterprise usa llc,"orange, ca",data warehouse reporting analyst sr.,Data Scientist,,,,,,
sunshine enterprise usa llc,"orange, ca",data warehouse reporting analyst sr.,Data Scientist,,,,,,
e3r-exceptional employees for exceptional results,"san diego, ca",data-analyst solicitation,Data Scientist,,,,,,110000
e3r-exceptional employees for exceptional results,"san diego, ca",data-analyst solicitation,Data Scientist,,,,,,110000
itr,"oak ridge, tn",demographic data analyst,Data Analyst,,,,,,
"pfizer
4.0","cambridge, ma",digital health data scientist,Data Scientist,1,0,0,1,1,179920
"pfizer
4.0","cambridge, ma",digital health data scientist,Data Scientist,1,0,0,1,1,179920
"vionic group
3.6","san rafael, ca",digital marketing & ecommerce data analyst,Data Analyst,0,0,0,0,1,107120
"vionic group
3.6","san rafael, ca",digital marketing & ecommerce data analyst,Data Analyst,0,0,0,0,1,107120
sun technologies,"duluth, ga","direct client requires: business / data analyst. san jose, ca",Data Analyst,,,,,,
vaco technology,"memphis, tn",direct hire data analyst- onsite in memphis,Data Analyst,,,,,,
"massmutual
3.6","boston, ma","director - data, privacy and ai governance",Data Scientist ,0,0,0,0,0,210080
"massmutual
3.6","boston, ma","director - data, privacy and ai governance",Data Scientist ,0,0,0,0,0,210080
"tranzact
3.6","fort lee, nj",director data science,Data Scientist ,1,0,0,1,1,335920
"tranzact
3.6","fort lee, nj",director data science,Data Scientist ,1,0,0,1,1,335920
"liberty mutual insurance
3.3","chicago, il","director ii, data science - grm actuarial",Data Scientist ,1,0,0,0,0,528320
"liberty mutual insurance
3.3","chicago, il","director ii, data science - grm actuarial",Data Scientist ,1,0,0,0,0,528320
"liberty mutual insurance
3.3","chicago, il","director ii, data science - grm actuarial",Data Scientist ,1,0,0,0,0,528320
"liberty mutual insurance
3.3","chicago, il","director ii, data science - grs predictive analytics",Data Scientist ,1,0,0,0,0,404560
"liberty mutual insurance
3.3","chicago, il","director ii, data science - grs predictive analytics",Data Scientist ,1,0,0,0,0,404560
"grainger
3.6","lake forest, il","director, data science",Data Scientist ,1,0,0,0,1,373360
"pfizer
4.0","cambridge, ma","director, precision medicine clinical biomarker scientist",Data Scientist ,0,0,0,1,0,357760
"iseatz
3.5","new orleans, la",e-commerce data analyst,Data Analyst,0,0,0,0,1,99840
"geosyntec consultants, inc.","pensacola, fl",early-career data analyst/data manager,Data Analyst,,,,,,
modern technology solutions,"las vegas, nv",electronic warfare data analyst,Data Analyst,,,,,,
modern technology solutions,"las vegas, nv",electronic warfare data analyst,Data Analyst,,,,,,
"massmutual
3.6","boston, ma","enterprise architect, data",Data Scientist ,1,0,1,1,1,269360
"massmutual
3.6","boston, ma","enterprise architect, data",Data Scientist ,1,0,1,1,1,269360
intellectual concepts llc,"atlanta, ga",entry level data analyst,Data Analyst,,,,,,
synergisticit,"montgomery, al",entry level data analyst,Data Analyst,,,,,,
synergisticit,"roswell, ga","entry level data analyst at synergisticit roswell, ga",Data Analyst,,,,,,
abt associates,"atlanta, ga","entry level data analyst, environmental",Data Analyst,,,,,,
"mcphail associates
3.3","cambridge, ma",environmental engineer/scientist,Data Scientist ,0,0,0,0,1,55120
"mcphail associates
3.3","cambridge, ma",environmental engineer/scientist,Data Scientist ,0,0,0,0,1,55120
"mcphail associates
3.3","cambridge, ma",environmental engineer/scientist,Data Scientist ,0,0,0,0,1,55120
university medical center of southern nevada,"las vegas, nv",epic analyst - core clinical,Data Scientist,,,,,,
university medical center of southern nevada,"las vegas, nv",epic analyst - core clinical,Data Scientist,,,,,,
